index,label
0,71
1,80
2,89
3,11
4,71
5,34
6,64
7,21
8,23
9,57
10,71
11,41
12,89
13,69
14,40
15,79
16,0
17,86
18,70
19,53
20,53
21,8
22,48
23,49
24,21
25,15
26,81
27,8
28,79
29,11
30,20
31,91
32,41
33,73
34,50
35,80
36,11
37,83
38,85
39,85
40,38
41,29
42,49
43,73
44,31
45,91
46,6
47,53
48,85
49,12
50,81
51,56
52,96
53,35
54,54
55,64
56,49
57,52
58,42
59,30
60,68
61,23
62,29
63,43
64,62
65,70
66,88
67,70
68,64
69,43
70,8
71,89
72,61
73,64
74,67
75,40
76,53
77,85
78,34
79,61
80,71
81,25
82,54
83,18
84,1
85,19
86,20
87,85
88,36
89,71
90,21
91,79
92,4
93,28
94,85
95,31
96,45
97,48
98,68
99,3
100,42
101,53
102,47
103,94
104,26
105,69
106,29
107,12
108,57
109,49
110,20
111,20
112,64
113,70
114,79
115,71
116,39
117,4
118,85
119,56
120,85
121,20
122,38
123,70
124,33
125,4
126,3
127,8
128,70
129,64
130,29
131,24
132,46
133,25
134,21
135,85
136,60
137,16
138,52
139,23
140,4
141,48
142,52
143,59
144,79
145,95
146,87
147,78
148,91
149,31
150,48
151,54
152,56
153,68
154,48
155,50
156,85
157,57
158,24
159,78
160,91
161,80
162,44
163,0
164,50
165,47
166,54
167,64
168,43
169,83
170,7
171,64
172,63
173,85
174,95
175,62
176,56
177,95
178,33
179,40
180,66
181,58
182,6
183,11
184,44
185,36
186,0
187,76
188,0
189,70
190,12
191,44
192,34
193,53
194,94
195,24
196,17
197,42
198,7
199,87
200,6
201,66
202,68
203,60
204,55
205,23
206,24
207,52
208,85
209,52
210,30
211,3
212,71
213,66
214,31
215,42
216,57
217,73
218,52
219,88
220,64
221,68
222,23
223,71
224,37
225,68
226,0
227,59
228,21
229,71
230,49
231,57
232,85
233,24
234,64
235,54
236,50
237,47
238,82
239,31
240,23
241,24
242,80
243,87
244,85
245,62
246,42
247,85
248,33
249,8
250,37
251,66
252,71
253,61
254,50
255,38
256,80
257,85
258,35
259,88
260,79
261,30
262,81
263,40
264,89
265,40
266,53
267,53
268,53
269,17
270,28
271,56
272,52
273,57
274,33
275,91
276,30
277,36
278,30
279,24
280,8
281,11
282,22
283,48
284,73
285,44
286,77
287,56
288,18
289,62
290,23
291,80
292,85
293,80
294,96
295,12
296,85
297,67
298,31
299,66
300,18
301,11
302,68
303,24
304,71
305,50
306,76
307,85
308,79
309,95
310,64
311,42
312,41
313,33
314,37
315,48
316,4
317,37
318,7
319,8
320,89
321,85
322,42
323,73
324,85
325,0
326,31
327,46
328,94
329,85
330,71
331,43
332,76
333,82
334,91
335,60
336,30
337,81
338,39
339,49
340,23
341,0
342,68
343,62
344,91
345,66
346,38
347,24
348,96
349,63
350,68
351,75
352,30
353,89
354,13
355,40
356,79
357,56
358,2
359,23
360,76
361,61
362,37
363,4
364,63
365,91
366,43
367,61
368,59
369,40
370,85
371,33
372,24
373,86
374,85
375,28
376,24
377,0
378,94
379,15
380,48
381,14
382,41
383,31
384,11
385,74
386,35
387,30
388,85
389,22
390,3
391,0
392,90
393,76
394,31
395,66
396,3
397,68
398,52
399,52
400,40
401,85
402,24
403,68
404,24
405,32
406,95
407,41
408,91
409,26
410,16
411,59
412,49
413,57
414,88
415,8
416,38
417,89
418,53
419,42
420,21
421,8
422,79
423,33
424,71
425,8
426,63
427,20
428,4
429,31
430,79
431,57
432,30
433,64
434,70
435,80
436,52
437,71
438,61
439,36
440,22
441,0
442,52
443,89
444,33
445,85
446,18
447,7
448,57
449,56
450,76
451,62
452,58
453,41
454,36
455,20
456,80
457,64
458,7
459,94
460,71
461,87
462,73
463,87
464,53
465,38
466,96
467,49
468,53
469,50
470,33
471,42
472,79
473,48
474,29
475,11
476,43
477,42
478,3
479,49
480,21
481,75
482,89
483,79
484,0
485,67
486,44
487,39
488,73
489,95
490,63
491,94
492,60
493,24
494,13
495,18
496,0
497,55
498,4
499,53
500,88
501,94
502,85
503,11
504,81
505,41
506,33
507,58
508,47
509,95
510,67
511,87
512,36
513,59
514,72
515,53
516,73
517,2
518,62
519,62
520,27
521,78
522,66
523,48
524,62
525,2
526,49
527,43
528,94
529,77
530,52
531,63
532,8
533,33
534,11
535,18
536,59
537,55
538,91
539,57
540,44
541,97
542,0
543,88
544,23
545,18
546,81
547,54
548,68
549,42
550,33
551,11
552,69
553,68
554,8
555,33
556,62
557,4
558,80
559,53
560,64
561,3
562,20
563,53
564,33
565,89
566,94
567,70
568,83
569,85
570,53
571,68
572,48
573,98
574,73
575,49
576,35
577,79
578,3
579,30
580,4
581,11
582,53
583,39
584,57
585,41
586,70
587,42
588,85
589,43
590,37
591,89
592,57
593,88
594,89
595,24
596,24
597,95
598,53
599,36
600,41
601,72
602,82
